model_name,avg_top_similarity,avg_weighted_top5_similarity,coverage_percent,avg_num_results,avg_response_time
all-MiniLM-L12-v2,0.61919653,0.5747515292318464,99.6,4.966,0.007763075113296509
infgrad/stella-base-en-v2,0.81014603,0.7874400513857602,100.0,5.0,0.026352333545684815
Alibaba-NLP/gte-base-en-v1.5,0.71147406,0.6809415057927366,100.0,5.0,0.03128226065635681
nomic-ai/nomic-embed-text-v1.5,0.71978235,0.6859667450666426,100.0,5.0,0.036240910530090334
jxm/cde-small-v2,0.60852396,0.5919175457984207,100.0,5.0,0.049736345529556275
Alibaba-NLP/gte-large-en-v1.5,0.78403723,0.7576238212943086,100.0,5.0,0.08324079751968384
jinaai/jina-embeddings-v3,0.7657374,0.7342263124898083,100.0,5.0,0.0892578854560852
BAAI/bge-large-en-v1.5,0.76537275,0.7407186690509332,100.0,5.0,0.06176441979408264
