model_name,avg_top_similarity,avg_weighted_top5_similarity,coverage_percent,avg_num_results,avg_response_time
all-MiniLM-L12-v2,0.6197887,0.5751066306722677,99.6,4.966,0.006761694431304931
infgrad/stella-base-en-v2,0.80995333,0.7872966682761905,100.0,5.0,0.02132413411140442
Alibaba-NLP/gte-base-en-v1.5,0.7122132,0.6814684499859807,100.0,5.0,0.04296651268005371
nomic-ai/nomic-embed-text-v1.5,0.71921027,0.6852177351057531,100.0,5.0,0.03926135778427124
jxm/cde-small-v2,0.6081493,0.5918641379073254,100.0,5.0,0.03624692583084106
Alibaba-NLP/gte-large-en-v1.5,0.7844371,0.7579567566305403,100.0,5.0,0.08918807101249694
jinaai/jina-embeddings-v3,0.76503605,0.7333881083980206,100.0,5.0,0.0827118330001831
BAAI/bge-large-en-v1.5,0.766232,0.7414207323327672,100.0,5.0,0.06190813970565796
