model_name,avg_top_similarity,avg_weighted_top5_similarity,coverage_percent,avg_num_results,avg_response_time
all-MiniLM-L12-v2,0.53628325,0.48620218529127596,98.6,4.824,0.007581904649734497
infgrad/stella-base-en-v2,0.7312987,0.710521266987919,100.0,5.0,0.020904903888702392
Alibaba-NLP/gte-base-en-v1.5,0.5270987,0.4897007678337389,100.0,5.0,0.027987193822860718
nomic-ai/nomic-embed-text-v1.5,0.6952481,0.6670081901699306,100.0,5.0,0.04573783946037292
jxm/cde-small-v2,0.5610021,0.542589007669687,100.0,5.0,0.04417385673522949
Alibaba-NLP/gte-large-en-v1.5,0.68711466,0.655121092268825,100.0,5.0,0.08229706907272338
jinaai/jina-embeddings-v3,0.7141554,0.6753369548097258,100.0,5.0,0.08392654132843018
BAAI/bge-large-en-v1.5,0.6808191,0.6579356335446248,100.0,5.0,0.0656401047706604
